,group_type,group,denied,requested,approved,percent_of_budget
0,Academic/Professional,Active Minds,0,47,47,0.006139738
1,Academic/Professional,Classics Club,12,57,45,5.87847E-05
2,Academic/Professional,Public Health Journal Club,50,84,34,4.44151E-05
3,Academic/Professional,Biology Club,150,170,20,2.61265E-05
4,Academic/Professional,Sports Business Club,260,315,55,7.1848E-05
5,Academic/Professional,Medical Health and Outreach Club,100,570,470,0.000613974
6,Academic/Professional,Kinesiology and Health Science Majors Club,400,597,197,0.000257346
7,Academic/Professional,The Collective: Sociology Journal at W&M,100,847,747,0.000975826
8,Academic/Professional,Society of Physics Students,335,942,607,0.000792941
9,Academic/Professional,International Relations Club,1010,1540,530,0.000692353
10,Academic/Professional,Students for Advancement of Artificial Intelligence,0,1547,1547,0.002020888
11,Academic/Professional,Quiz Bowl,912,1947,1035,0.001352049
12,Academic/Professional,Art History Club,1650,2125,475,0.000620505
13,Academic/Professional,Moot Court,1709,2922,1213,0.001584575
14,Academic/Professional,Mock Trial,1464,3245,1781,0.002326569
15,Academic/Professional,Association for Computing Machinery,1250,3547,2297,0.003000634
16,Academic/Professional,Debate Society,4315,7027,2712,0.003542759
17,Acapella,No Ceiling,0,20,20,2.61265E-05
18,Acapella,The Accidentals,500,520,20,2.61265E-05
19,Acapella,FLOW,600,667,67,8.75239E-05
20,Acapella,A Capella Council,1070,2431,1361,0.001777911
21,Advocacy & Inclusion,HEART,45,124,79,0.0001032
22,Advocacy & Inclusion,Virginia21,100,197,97,0.000126714
23,Advocacy & Inclusion,Students for Animals,120,234,114,0.000148921
24,Advocacy & Inclusion,American Bosnian Collaboration Project,200,247,47,6.13974E-05
25,Advocacy & Inclusion,Amnesty International,80,515,435,0.000568252
26,Advocacy & Inclusion,Students Helping Honduras,635,987,352,0.000459827
27,Advocacy & Inclusion,IMRAA,836,1047,211,0.000275635
28,Advocacy & Inclusion,Student Veterans of W&M,1418,1687,269,0.000351402
